source,slug,status,severity,score,summary,issues
static,alarm-habit,,Pass,90,cards=14; paragraphs=16; faq=true,
static,bag-organizing,,Pass,90,cards=12; paragraphs=13; faq=true,
static,bathroom-habit,,Pass,90,cards=12; paragraphs=13; faq=true,
static,bed-making,,Pass,90,cards=12; paragraphs=13; faq=true,
static,book-reading,,Pass,90,cards=12; paragraphs=13; faq=true,
static,breakfast-preference,,Pass,90,cards=8; paragraphs=13; faq=true,
static,breakfast-style,,Pass,90,cards=12; paragraphs=13; faq=true,
static,breakup-style,,Pass,90,cards=8; paragraphs=8; faq=true,
static,bungeoppang,,Pass,90,cards=11; paragraphs=12; faq=true,
static,cafe-style,,Pass,90,cards=10; paragraphs=9; faq=true,
static,cake-cutting,,Pass,90,cards=12; paragraphs=13; faq=true,
static,chair-sitting,,Pass,90,cards=12; paragraphs=13; faq=true,
static,chicken-style,,Pass,90,cards=11; paragraphs=12; faq=true,
static,chicken-vs-jjimdak,,Pass,90,cards=12; paragraphs=13; faq=true,
static,clean-style,,Pass,90,cards=10; paragraphs=11; faq=true,
static,clothing-order,,Pass,90,cards=12; paragraphs=13; faq=true,
static,coffee-mbti,,Pass,90,cards=10; paragraphs=9; faq=true,
static,commute-style,,Pass,90,cards=5; paragraphs=10; faq=true,
static,convenience-snack,,Pass,90,cards=10; paragraphs=11; faq=true,
static,cooking-cleanup,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-complexity,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-create,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-experiment,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-follow,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-garnishing,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-improvise,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-measurement,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-method,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-modify,,Pass,90,cards=10; paragraphs=12; faq=true,
static,cooking-multitask,,Pass,90,cards=10; paragraphs=12; faq=true,
